,clid,hhid,qb01,qb02,qb03,qb04,qb05,qb06,qb07_1,qb07_2,qb07_3,qb07_4,qb07_5,qb07_6,qb08_1,qb08_2,qb08_3,qb08_4,qb08_5,qb08_6
1107,677.0,2.0,101,"Land (squatters, allocation, t",Yes,Lawyer,Cost,"Yes, and the matter is resolved",I,Member Of County Assembly (Mca),20000.0,,0.0,,,0.0,,,0.0,
1108,677.0,4.0,101,"Land (squatters, allocation, t",Yes,Lawyer,Party has the power/authority,"No, the matter is still pending",K,Lawyer,15000.0,,0.0,,,0.0,,,0.0,
1109,677.0,5.0,111,Traffic matters,Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",L,Police,0.0,,0.0,,,0.0,,,0.0,
1110,678.0,2.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has technical skill,"No, the matter is still pending",X,Other (Specify),,,0.0,,X,Other (Specify),,,0.0,
1111,679.0,4.0,104,Succession and inheritance (in,Yes,None,,,,,,,,,,,,,,
1112,679.0,7.0,101,"Land (squatters, allocation, t",Yes,None,,,,,,,,,,,,,,
1113,679.0,7.0,104,Succession and inheritance (in,Yes,None,,,,,,,,,,,,,,
1114,680.0,1.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,G,Traditional Leader/Elder,0.0,C,Traditional Leader/Elder,100.0,D,National Government,500.0
1115,681.0,8.0,102,"Commercial (unpaid debts, unde",Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",L,Police,400.0,P,None,0.0,H,Police,0.0,,0.0,0.0
1116,682.0,1.0,102,"Commercial (unpaid debts, unde",Yes,Directly to the other party,Party has community/family respect,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,,0.0,,A,Directly To The Other Party,0.0,,0.0,
1117,684.0,8.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"No, the matter is still pending",D,Chief/Assistant Chief,0.0,P,None,,D,National Government,200.0,,0.0,
1118,686.0,1.0,103,Family matters (divorce; pater,Yes,Directly to the other party,Most comfortable with this person,"No, they could not help us with the dispute",A,Directly To The Other Party,0.0,P,None,0.0,A,Directly To The Other Party,0.0,,0.0,
1119,686.0,4.0,103,Family matters (divorce; pater,Yes,Extended family members (outside the household),Most comfortable with this person,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,P,None,0.0,B,Extended Family Member,0.0,,0.0,
1120,686.0,5.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has community/family respect,"No, the matter is still pending",D,Chief/Assistant Chief,0.0,P,None,0.0,D,National Government,0.0,,0.0,
1121,686.0,6.0,103,Family matters (divorce; pater,Yes,Extended family members (outside the household),Most comfortable with this person,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,P,None,0.0,A,Directly To The Other Party,0.0,,0.0,
1122,686.0,6.0,104,Succession and inheritance (in,Yes,Extended family members (outside the household),Most comfortable with this person,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),300.0,P,None,0.0,A,Directly To The Other Party,0.0,,0.0,
1123,686.0,7.0,101,"Land (squatters, allocation, t",Yes,None,,,,,,,,,,,,,,
1124,686.0,10.0,101,"Land (squatters, allocation, t",Yes,Courts,Party has technical skill,"No, the matter is still pending",M,Courts,0.0,P,None,0.0,I,Courts,0.0,,0.0,
1125,689.0,1.0,107,Tenants vs. Landlords,Yes,Directly to the other party,Cost,"Yes, and the matter is resolved",P,None,0.0,A,Directly To The Other Party,0.0,A,Directly To The Other Party,0.0,,0.0,0.0
1126,689.0,4.0,107,Tenants vs. Landlords,Yes,Directly to the other party,Cost,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,,0.0,0.0,A,Directly To The Other Party,0.0,,0.0,0.0
1127,689.0,7.0,107,Tenants vs. Landlords,Yes,Directly to the other party,Cost,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,,0.0,,A,Directly To The Other Party,0.0,,0.0,
1128,692.0,5.0,101,"Land (squatters, allocation, t",Yes,Courts,Party has technical skill,"No, the matter is still pending",D,Chief/Assistant Chief,1000.0,P,None,,X,Other (Specify),,,0.0,
1129,693.0,5.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has community/family respect,"Yes, and the matter is resolved",D,Chief/Assistant Chief,200.0,P,None,0.0,D,National Government,0.0,,0.0,0.0
1130,693.0,5.0,106,Natural resources (communal gr,Yes,Chief/ Assistant Chief,Party has community/family respect,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,P,None,0.0,D,National Government,0.0,,0.0,0.0
1131,693.0,5.0,108,Disputes over personal propert,Yes,Chief/ Assistant Chief,Party has community/family respect,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,P,None,0.0,D,National Government,0.0,,0.0,0.0
1132,694.0,4.0,103,Family matters (divorce; pater,Yes,Religious institution/religious leader,Most comfortable with this person,"Yes, and the matter is resolved",C,Religious Institution/Religious Leader,0.0,,0.0,,X,Other (Specify),0.0,,0.0,
1133,695.0,4.0,103,Family matters (divorce; pater,Yes,Chief/ Assistant Chief,Proximity/location,"No, the matter is still pending",B,Extended Family Members (Outside The Household),2000.0,,0.0,,X,Other (Specify),0.0,,0.0,
1134,695.0,8.0,103,Family matters (divorce; pater,Yes,Chief/ Assistant Chief,Proximity/location,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
1135,696.0,2.0,109,"Domestic violence (sexual, phy",Yes,Extended family members (outside the household),Would cause least disruption to life,"Yes, and the matter is resolved",P,None,0.0,,0.0,0.0,X,Other (Specify),0.0,,0.0,0.0
1136,696.0,3.0,109,"Domestic violence (sexual, phy",Yes,Traditional leader/elder,Party has community/family respect,"Yes, and the matter is resolved",P,None,0.0,,0.0,,X,Other (Specify),,,0.0,
1137,696.0,4.0,109,"Domestic violence (sexual, phy",Yes,Police,Party has the power/authority,"No, the matter is still pending",L,Police,1000.0,,0.0,,H,Police,2000.0,,0.0,
1138,696.0,7.0,108,Disputes over personal propert,Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",P,None,0.0,,0.0,,X,Other (Specify),,,0.0,
1139,698.0,2.0,109,"Domestic violence (sexual, phy",Yes,Extended family members (outside the household),Party has community/family respect,"Yes, and the matter is resolved",P,None,0.0,,0.0,0.0,X,Other (Specify),0.0,,0.0,0.0
1140,698.0,3.0,104,Succession and inheritance (in,Yes,Extended family members (outside the household),Party has community/family respect,"Yes, and the matter is resolved",P,None,0.0,,0.0,,X,Other (Specify),,,0.0,
1141,698.0,4.0,103,Family matters (divorce; pater,Yes,Extended family members (outside the household),Would cause least disruption to life,"Yes, and the matter is resolved",P,None,0.0,,0.0,0.0,X,Other (Specify),,,0.0,
1142,698.0,6.0,109,"Domestic violence (sexual, phy",Yes,Chief/ Assistant Chief,Party has the power/authority,"No, the matter is still pending",P,None,0.0,,0.0,,X,Other (Specify),0.0,,0.0,
1143,698.0,9.0,105,"Criminal matters (murder,sexua",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,500.0,,0.0,,E,County Government,500.0,,0.0,
1144,700.0,2.0,103,Family matters (divorce; pater,Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",P,None,,,0.0,,C,Traditional Leader/Elder,1000.0,,0.0,
1145,701.0,1.0,107,Tenants vs. Landlords,Yes,Directly to the other party,Cost,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,,0.0,,A,Directly To The Other Party,0.0,,0.0,
1146,701.0,4.0,107,Tenants vs. Landlords,Yes,Directly to the other party,Most comfortable with this person,"Yes, and the matter is resolved",P,None,,,0.0,,A,Directly To The Other Party,0.0,,0.0,
1147,701.0,5.0,107,Tenants vs. Landlords,Yes,Directly to the other party,Most comfortable with this person,"Yes, and the matter is resolved",P,None,0.0,,0.0,0.0,A,Directly To The Other Party,0.0,,0.0,
1148,701.0,6.0,107,Tenants vs. Landlords,Yes,Directly to the other party,Cost,"Yes, and the matter is resolved",P,None,0.0,,0.0,0.0,A,Directly To The Other Party,0.0,,0.0,
1149,701.0,7.0,107,Tenants vs. Landlords,Yes,Directly to the other party,Cost,"Yes, and the matter is resolved",P,None,,,0.0,,A,Directly To The Other Party,0.0,,0.0,
1150,703.0,5.0,101,"Land (squatters, allocation, t",Yes,None,,,,,,,,,,,,,,
1151,704.0,1.0,103,Family matters (divorce; pater,Yes,Traditional leader/elder,Most comfortable with this person,"No, they could not help us with the dispute",G,Traditional Leader/Elder,500.0,P,None,0.0,H,Police,0.0,C,Traditional Leader/Elder,0.0
1152,704.0,4.0,105,"Criminal matters (murder,sexua",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",P,None,,L,Police,,C,Traditional Leader/Elder,500.0,H,Police,0.0
1153,704.0,6.0,103,Family matters (divorce; pater,Yes,Religious institution/religious leader,Party has community/family respect,,P,None,,,0.0,,,0.0,,,0.0,
1154,704.0,8.0,111,Traffic matters,Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",L,Police,2000.0,P,None,,H,Police,900.0,,0.0,0.0
1155,704.0,9.0,103,Family matters (divorce; pater,Yes,Traditional leader/elder,Most comfortable with this person,"No, they could not help us with the dispute",P,None,0.0,,0.0,,C,Traditional Leader/Elder,0.0,E,County Government,0.0
1156,705.0,1.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1157,705.0,1.0,109,"Domestic violence (sexual, phy",Yes,Chief/ Assistant Chief,Party has the power/authority,"No, they could not help us with the dispute",D,Chief/Assistant Chief,0.0,I,Member Of County Assembly (Mca),,,0.0,,,0.0,
1158,705.0,3.0,101,"Land (squatters, allocation, t",Yes,None,,,,,,,,,,,,,,
1159,705.0,3.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1160,705.0,4.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"No, the matter is still pending",P,None,,,0.0,,,0.0,,,0.0,
1161,705.0,4.0,112,Religious/Witchcraft offenses,Yes,None,,,,,,,,,,,,,,
1162,705.0,7.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1163,705.0,10.0,101,"Land (squatters, allocation, t",Yes,Courts,Party has the power/authority,"No, the matter is still pending",M,Courts,200000.0,,0.0,,,0.0,,,0.0,
1164,705.0,10.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1165,706.0,1.0,101,"Land (squatters, allocation, t",Yes,None,,,,,,,,,,,,,,
1166,706.0,3.0,101,"Land (squatters, allocation, t",Yes,Courts,Party has the power/authority,"No, the matter is still pending",M,Courts,5000.0,,0.0,,,0.0,,,0.0,
1167,706.0,10.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Cost,"No, they decided not to rule on the matter",P,None,,,0.0,,,0.0,,,0.0,
1168,710.0,6.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Most comfortable with this person,"No, the matter is still pending",D,Chief/Assistant Chief,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
1169,712.0,4.0,106,Natural resources (communal gr,Yes,NGO/CBO,Party has the power/authority,"Yes, and the matter is resolved",J,Ngo/Cbo,2000.0,O,Gangs,0.0,,0.0,0.0,,0.0,0.0
1170,712.0,6.0,106,Natural resources (communal gr,Yes,NGO/CBO,Party has the power/authority,"Yes, and the matter is resolved",J,Ngo/Cbo,1000.0,P,None,0.0,,0.0,0.0,,0.0,0.0
1171,712.0,9.0,106,Natural resources (communal gr,Yes,NGO/CBO,Party has the power/authority,"Yes, and the matter is resolved",J,Ngo/Cbo,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
1172,712.0,9.0,109,"Domestic violence (sexual, phy",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,300.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
1173,714.0,4.0,110,Labour (employee/employer disp,Yes,None,,,,,,,,,,,,,,
1174,715.0,1.0,101,"Land (squatters, allocation, t",Yes,None,,,,,,,,,,,,,,
1175,715.0,1.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1176,715.0,2.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1177,715.0,3.0,104,Succession and inheritance (in,Yes,Chief/ Assistant Chief,Party has community/family respect,"No, the matter is still pending",D,Chief/Assistant Chief,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
1178,715.0,9.0,101,"Land (squatters, allocation, t",Yes,Religious institution/religious leader,Cost,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
1179,715.0,9.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1180,715.0,10.0,101,"Land (squatters, allocation, t",Yes,None,,,,,,,,,,,,,,
1181,717.0,4.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,,0.0,,D,National Government,0.0,,0.0,
1182,717.0,9.0,111,Traffic matters,Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",L,Police,0.0,,0.0,,H,Police,5000.0,,0.0,
1183,719.0,1.0,103,Family matters (divorce; pater,Yes,Chief/ Assistant Chief,Proximity/location,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,P,None,0.0,D,National Government,0.0,,0.0,
1184,720.0,4.0,104,Succession and inheritance (in,Yes,Lawyer,Party has the power/authority,"No, the matter is still pending",K,Lawyer,200000.0,O,Gangs,0.0,,0.0,0.0,,0.0,0.0
1185,723.0,1.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1186,723.0,3.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1187,723.0,5.0,101,"Land (squatters, allocation, t",Yes,Directly to the other party,Would cause least disruption to life,"No, the matter is still pending",P,None,,,0.0,,,0.0,,,0.0,
1188,723.0,8.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"No, the matter is still pending",P,None,,,0.0,,,0.0,,,0.0,
1189,723.0,9.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"No, the matter is still pending",P,None,,,0.0,,,0.0,,,0.0,
1190,723.0,9.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1191,724.0,9.0,103,Family matters (divorce; pater,Yes,Police,Party has the power/authority,"No, they could not help us with the dispute",L,Police,4000.0,,0.0,,H,Police,0.0,,0.0,
1192,726.0,6.0,102,"Commercial (unpaid debts, unde",Yes,Courts,Party has technical skill,"Yes, and the matter is resolved",M,Courts,3000.0,N,Friend,20000.0,I,Courts,0.0,X,Other (Specify),0.0
1193,728.0,1.0,108,Disputes over personal propert,Yes,Chief/ Assistant Chief,Would cause least disruption to life,"Yes, and the matter is resolved",D,Chief/Assistant Chief,300.0,,0.0,,,0.0,,,0.0,
1194,729.0,4.0,108,Disputes over personal propert,Yes,Chief/ Assistant Chief,Tradition,"Yes, and the matter is resolved",P,None,,,0.0,,X,Other (Specify),,,0.0,
1195,731.0,1.0,109,"Domestic violence (sexual, phy",Yes,Extended family members (outside the household),Most comfortable with this person,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
1196,731.0,6.0,106,Natural resources (communal gr,Yes,Directly to the other party,Would cause least disruption to life,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
1197,732.0,2.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1198,732.0,3.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has community/family respect,"No, the matter is still pending",E,Other National Government Official,2000.0,X,Other (Specify),,X,Other (Specify),,,0.0,
1199,732.0,4.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1200,733.0,4.0,103,Family matters (divorce; pater,Yes,Friend,Most comfortable with this person,"No, the matter is still pending",N,Friend,5000.0,P,None,,X,Other (Specify),0.0,,0.0,
1201,735.0,1.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"No, they could not help us with the dispute",D,Chief/Assistant Chief,0.0,P,None,0.0,D,National Government,0.0,,0.0,0.0
1202,735.0,2.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1203,735.0,2.0,104,Succession and inheritance (in,Yes,None,,,,,,,,,,,,,,
1204,735.0,3.0,103,Family matters (divorce; pater,Yes,None,,,,,,,,,,,,,,
1205,735.0,3.0,108,Disputes over personal propert,Yes,None,,,,,,,,,,,,,,
1206,735.0,3.0,110,Labour (employee/employer disp,Yes,None,,,,,,,,,,,,,,
1207,735.0,3.0,113,Political disagreements/electi,Yes,None,,,,,,,,,,,,,,
1208,735.0,4.0,101,"Land (squatters, allocation, t",Yes,Traditional leader/elder,Proximity/location,"Yes, and the matter is resolved",G,Traditional Leader/Elder,0.0,P,None,0.0,C,Traditional Leader/Elder,500.0,,0.0,0.0
1209,735.0,4.0,102,"Commercial (unpaid debts, unde",Yes,Extended family members (outside the household),Tradition,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,P,None,0.0,B,Extended Family Member,0.0,,0.0,0.0
1210,735.0,4.0,103,Family matters (divorce; pater,Yes,None,,,,,,,,,,,,,,
1211,735.0,4.0,108,Disputes over personal propert,Yes,None,,,,,,,,,,,,,,
1212,735.0,4.0,110,Labour (employee/employer disp,Yes,None,,,,,,,,,,,,,,
1213,735.0,6.0,103,Family matters (divorce; pater,Yes,None,,,,,,,,,,,,,,
1214,735.0,6.0,110,Labour (employee/employer disp,Yes,Traditional leader/elder,Proximity/location,"Yes, and the matter is resolved",G,Traditional Leader/Elder,0.0,P,None,0.0,C,Traditional Leader/Elder,100.0,,0.0,0.0
1215,735.0,9.0,101,"Land (squatters, allocation, t",Yes,Extended family members (outside the household),Most comfortable with this person,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,P,None,0.0,B,Extended Family Member,3000.0,,0.0,0.0
1216,735.0,9.0,110,Labour (employee/employer disp,Yes,None,,,,,,,,,,,,,,
1217,737.0,4.0,101,"Land (squatters, allocation, t",Yes,Extended family members (outside the household),Would cause least disruption to life,,,0.0,,P,None,0.0,,0.0,,,0.0,
1218,739.0,4.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",A,Directly To The Other Party,500.0,,0.0,,,0.0,,,0.0,
1219,739.0,8.0,101,"Land (squatters, allocation, t",Yes,Chief/ Assistant Chief,Party has community/family respect,"Yes, and the matter is resolved",D,Chief/Assistant Chief,1000.0,,0.0,,,0.0,,,0.0,
1220,741.0,3.0,106,Natural resources (communal gr,Yes,None,,,,,,,,,,,,,,
1221,741.0,4.0,114,Corruption/bribery,Yes,None,,,,,,,,,,,,,,
1222,741.0,7.0,101,"Land (squatters, allocation, t",Yes,None,,,,,,,,,,,,,,
1223,741.0,10.0,101,"Land (squatters, allocation, t",Yes,National government official,Party has community/family respect,"Yes, and the matter is resolved",E,Other National Government Official,400.0,,0.0,,D,National Government,0.0,,0.0,
1224,742.0,2.0,101,"Land (squatters, allocation, t",Yes,Traditional leader/elder,Most comfortable with this person,"Yes, and the matter is resolved",G,Traditional Leader/Elder,0.0,P,None,0.0,G,Member Of Country Assembly,0.0,,0.0,
1225,742.0,3.0,110,Labour (employee/employer disp,Yes,Chief/ Assistant Chief,Proximity/location,"Yes, and the matter is resolved",D,Chief/Assistant Chief,0.0,P,None,0.0,D,National Government,0.0,,0.0,0.0
1226,742.0,8.0,101,"Land (squatters, allocation, t",Yes,Traditional leader/elder,Tradition,"Yes, and the matter is resolved",G,Traditional Leader/Elder,0.0,P,None,,C,Traditional Leader/Elder,0.0,B,Extended Family Member,0.0
1227,743.0,1.0,106,Natural resources (communal gr,Yes,Directly to the other party,Proximity/location,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
1228,743.0,1.0,108,Disputes over personal propert,Yes,Directly to the other party,Tradition,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
1229,743.0,2.0,106,Natural resources (communal gr,Yes,Directly to the other party,Proximity/location,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
1230,743.0,3.0,106,Natural resources (communal gr,Yes,Directly to the other party,Tradition,"Yes, and the matter is resolved",P,None,,,0.0,,X,Other (Specify),,,0.0,
1231,743.0,4.0,105,"Criminal matters (murder,sexua",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",P,None,,,0.0,,X,Other (Specify),,,0.0,
1232,743.0,5.0,105,"Criminal matters (murder,sexua",Yes,Chief/ Assistant Chief,Party has the power/authority,"Yes, and the matter is resolved",D,Chief/Assistant Chief,500.0,P,None,0.0,,0.0,0.0,,0.0,0.0
1233,743.0,7.0,105,"Criminal matters (murder,sexua",Yes,Chief/ Assistant Chief,Cost,"Yes, and the matter is resolved",D,Chief/Assistant Chief,2000.0,P,None,,D,National Government,2000.0,,0.0,
1234,743.0,9.0,105,"Criminal matters (murder,sexua",Yes,Chief/ Assistant Chief,Party has technical skill,"Yes, and the matter is resolved",D,Chief/Assistant Chief,500.0,,0.0,,C,Traditional Leader/Elder,500.0,,0.0,
1235,743.0,10.0,103,Family matters (divorce; pater,Yes,Directly to the other party,Tradition,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
1236,745.0,5.0,113,Political disagreements/electi,Yes,Traditional leader/elder,,"No, the matter is still pending",G,Traditional Leader/Elder,10000.0,D,Chief/Assistant Chief,,,0.0,,,0.0,
1237,745.0,7.0,101,"Land (squatters, allocation, t",Yes,Directly to the other party,Cost,"Yes, and the matter is resolved",A,Directly To The Other Party,10000.0,,0.0,,,0.0,,,0.0,
1238,746.0,6.0,107,Tenants vs. Landlords,Yes,Directly to the other party,Most comfortable with this person,"Yes, and the matter is resolved",A,Directly To The Other Party,0.0,,0.0,0.0,A,Directly To The Other Party,0.0,,0.0,0.0
1239,747.0,1.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has the power/authority,"Yes, and the matter is resolved",P,None,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
1240,747.0,4.0,107,Tenants vs. Landlords,Yes,Other (specify),Party has community/family respect,"Yes, and the matter is resolved",P,None,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
1241,747.0,6.0,105,"Criminal matters (murder,sexua",Yes,Police,Party has the power/authority,"No, the matter is still pending",P,None,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
1242,750.0,2.0,103,Family matters (divorce; pater,Yes,Extended family members (outside the household),Most comfortable with this person,"No, the matter is still pending",B,Extended Family Members (Outside The Household),0.0,K,Lawyer,2000.0,B,Extended Family Member,0.0,,0.0,0.0
1243,750.0,4.0,101,"Land (squatters, allocation, t",Yes,Extended family members (outside the household),Most comfortable with this person,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,E,Other National Government Official,2000.0,B,Extended Family Member,0.0,D,National Government,0.0
1244,750.0,9.0,101,"Land (squatters, allocation, t",Yes,Other (specify),Proximity/location,"No, the matter is still pending",X,Other (Specify),0.0,P,None,0.0,X,Other (Specify),1500.0,,0.0,0.0
1245,751.0,1.0,107,Tenants vs. Landlords,Yes,None,,,,,,,,,,,,,,
1246,751.0,2.0,103,Family matters (divorce; pater,Yes,None,,,,,,,,,,,,,,
1247,751.0,2.0,104,Succession and inheritance (in,Yes,None,,,,,,,,,,,,,,
1248,751.0,2.0,105,"Criminal matters (murder,sexua",Yes,Traditional leader/elder,Proximity/location,"No, the matter is still pending",G,Traditional Leader/Elder,0.0,P,None,0.0,C,Traditional Leader/Elder,50.0,,0.0,50.0
1249,751.0,2.0,108,Disputes over personal propert,Yes,None,,,,,,,,,,,,,,
1250,751.0,2.0,112,Religious/Witchcraft offenses,Yes,Traditional leader/elder,Cost,"No, the matter is still pending",G,Traditional Leader/Elder,0.0,P,None,0.0,C,Traditional Leader/Elder,0.0,,0.0,0.0
1251,751.0,3.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1252,751.0,3.0,103,Family matters (divorce; pater,Yes,Extended family members (outside the household),Cost,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,P,None,0.0,B,Extended Family Member,0.0,,0.0,0.0
1253,751.0,3.0,110,Labour (employee/employer disp,Yes,None,,,,,,,,,,,,,,
1254,751.0,4.0,103,Family matters (divorce; pater,Yes,Chief/ Assistant Chief,Proximity/location,"No, they decided not to rule on the matter",D,Chief/Assistant Chief,0.0,G,Traditional Leader/Elder,0.0,D,National Government,0.0,C,Traditional Leader/Elder,0.0
1255,751.0,4.0,104,Succession and inheritance (in,Yes,Extended family members (outside the household),Tradition,"Yes, and the matter is resolved",B,Extended Family Members (Outside The Household),0.0,P,None,0.0,B,Extended Family Member,0.0,,0.0,0.0
1256,751.0,4.0,105,"Criminal matters (murder,sexua",Yes,Traditional leader/elder,Proximity/location,"No, the matter is still pending",G,Traditional Leader/Elder,0.0,P,None,0.0,C,Traditional Leader/Elder,0.0,,0.0,
1257,751.0,4.0,108,Disputes over personal propert,Yes,Traditional leader/elder,Proximity/location,"Yes, and the matter is resolved",G,Traditional Leader/Elder,600.0,P,None,0.0,C,Traditional Leader/Elder,0.0,,0.0,0.0
1258,751.0,4.0,110,Labour (employee/employer disp,Yes,Traditional leader/elder,Proximity/location,"Yes, and the matter is resolved",G,Traditional Leader/Elder,100.0,P,None,0.0,C,Traditional Leader/Elder,0.0,,0.0,0.0
1259,751.0,5.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1260,751.0,5.0,108,Disputes over personal propert,Yes,None,,,,,,,,,,,,,,
1261,751.0,6.0,102,"Commercial (unpaid debts, unde",Yes,None,,,,,,,,,,,,,,
1262,751.0,6.0,104,Succession and inheritance (in,Yes,Chief/ Assistant Chief,Proximity/location,"No, the matter is still pending",D,Chief/Assistant Chief,0.0,G,Traditional Leader/Elder,0.0,D,National Government,0.0,C,Traditional Leader/Elder,250.0
1263,751.0,7.0,103,Family matters (divorce; pater,Yes,Courts,Most comfortable with this person,"Yes, and the matter is resolved",M,Courts,0.0,G,Traditional Leader/Elder,0.0,I,Courts,0.0,C,Traditional Leader/Elder,2000.0
1264,751.0,8.0,108,Disputes over personal propert,Yes,None,,,,,,,,,,,,,,
1265,751.0,8.0,110,Labour (employee/employer disp,Yes,None,,,,,,,,,,,,,,
1266,751.0,8.0,112,Religious/Witchcraft offenses,Yes,None,,,,,,,,,,,,,,
1267,751.0,9.0,110,Labour (employee/employer disp,Yes,None,,,,,,,,,,,,,,
1268,752.0,2.0,104,Succession and inheritance (in,Yes,Extended family members (outside the household),Tradition,"Yes, and the matter is resolved",P,None,,,0.0,,,0.0,,,0.0,
1269,758.0,2.0,101,"Land (squatters, allocation, t",Yes,Traditional leader/elder,Party has community/family respect,"Yes, and the matter is resolved",G,Traditional Leader/Elder,0.0,,0.0,,C,Traditional Leader/Elder,500.0,,0.0,
1270,758.0,9.0,108,Disputes over personal propert,Yes,Traditional leader/elder,Party has the power/authority,"Yes, and the matter is resolved",G,Traditional Leader/Elder,200.0,,0.0,,G,Member Of Country Assembly,0.0,,0.0,
1271,758.0,10.0,101,"Land (squatters, allocation, t",Yes,Lawyer,Party has technical skill,"No, the matter is still pending",K,Lawyer,8000.0,,0.0,,J,Lawyer,0.0,,0.0,
