,clid,hhid,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10_m,r10_y,r11,r12,r13
2605,572.0,8.0,Yes,Yes,3.0,SAFARICOM AIRTIME,2.0, Mobile Phone Platform  ,Subsistence Needs  ,2000.0,0.0,10.0,0.0,1.0,0.0,None 
2606,572.0,9.0,Yes,Yes,1.0,FAMILY BANK LOAN,1.0, Commercial Banks  ,School Fees (Education)  ,18000.0,1.0,0.0,15.0,10.0,14000.0,Income 
2607,572.0,9.0,Yes,Yes,2.0,BOSIBORI KIOSK,3.0, Merchant/Shop  ,Subsistence Needs  ,3600.0,0.0,0.0,0.0,1.0,150.0,None 
2608,572.0,9.0,Yes,Yes,3.0,SOFT LOAN,2.0, Relative/ Friend/Neighbour  ,School Fees (Education)  ,2000.0,0.0,0.0,0.0,1.0,0.0,None 
2609,572.0,9.0,Yes,Yes,4.0,SAFARICOM AIRTIME,1.0, Mobile Phone Platform  ,Subsistence Needs  ,2000.0,0.0,10.0,0.0,4.0,10.0,None 
2610,572.0,9.0,Yes,Yes,5.0,SAFARICOM AIRTIME,2.0, Mobile Phone Platform  ,Subsistence Needs  ,6000.0,0.0,10.0,0.0,4.0,20.0,None 
2611,572.0,10.0,Yes,Yes,1.0,GUTO KIOSK,2.0, Merchant/Shop  ,Subsistence Needs  ,3600.0,0.0,0.0,0.0,1.0,100.0,None 
2612,572.0,10.0,Yes,Yes,2.0,SAFARICOM AIRTIME,1.0, Mobile Phone Platform  ,Subsistence Needs  ,120.0,0.0,10.0,0.0,1.0,10.0,None 
2613,572.0,10.0,Yes,Yes,3.0,SAFARICOM AIRTIME,2.0, Mobile Phone Platform  ,Subsistence Needs  ,200.0,0.0,10.0,0.0,1.0,0.0,None 
2614,573.0,5.0,Yes,Yes,1.0,BANK  LOAN,1.0, Commercial Banks  ,Subsistence Needs  ,5000.0,2.0,,,3.0,6000.0,Individual/Guarantor  
2615,573.0,6.0,Yes,Yes,1.0,MR KANYUGO,1.0, Saccos  ,Business/Investment   ,30000.0,3.0,1.0,12.0,1.0,0.0,Individual/Guarantor  
2616,573.0,9.0,Yes,Yes,1.0,LOAN,1.0, Saccos  ,Purchase of Agricultural Inputs  ,160000.0,30.0,2.0,24.0,36.0,45000.0,Individual/Guarantor  
2617,574.0,1.0,Yes,Yes,1.0,HOUSEHOLD ITEMS,1.0, Relative/ Friend/Neighbour  ,Other  ,560.0,0.0,0.0,0.0,0.0,0.0,None 
2618,574.0,3.0,Yes,Yes,1.0,LOAN FOR NGURU,1.0, Relative/ Friend/Neighbour  ,Business/Investment   ,50000.0,10.0,0.0,0.0,12.0,15000.0,None 
2619,574.0,4.0,Yes,Yes,1.0,FLOUR,2.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,200.0,0.0,0.0,0.0,0.0,0.0,None 
2620,574.0,4.0,Yes,Yes,2.0,MONEY,2.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,10000.0,0.0,5.0,0.0,1.0,0.0,Other  
2621,574.0,4.0,Yes,Yes,3.0,SALT,2.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,15.0,0.0,0.0,0.0,0.0,0.0,None 
2622,574.0,4.0,Yes,Yes,4.0,BAMBA,1.0, Mobile Phone Platform  ,Subsistence Needs  ,400.0,0.0,5.0,0.0,0.0,0.0,None 
2623,574.0,6.0,Yes,Yes,1.0,CASH,1.0, Relative/ Friend/Neighbour  ,Other  ,1500.0,2.0,0.0,0.0,0.0,0.0,None 
2624,574.0,7.0,Yes,Yes,1.0,UPENDO SACCO LOAN,2.0, Self-Help Groups/Chamas  ,Business/Investment   ,1000.0,14.0,5.0,0.0,0.0,1000.0,None 
2625,574.0,8.0,Yes,Yes,1.0,SUGAR,2.0, Other  ,Subsistence Needs  ,200.0,1.0,0.0,0.0,0.0,0.0,None 
2626,574.0,8.0,Yes,Yes,2.0,CREDIT/BAMBA,1.0, Mobile Phone Platform  ,Subsistence Needs  ,1000.0,1.0,0.0,0.0,1.0,0.0,None 
2627,574.0,8.0,Yes,Yes,3.0,MONEY,1.0, Relative/ Friend/Neighbour  ,Purchase of Agricultural Inputs  ,10000.0,1.0,0.0,0.0,2.0,0.0,None 
2628,574.0,9.0,Yes,Yes,1.0,INDUSTRIAL GOODS,2.0, Merchant/Shop  ,Subsistence Needs  ,1200.0,0.0,0.0,0.0,0.0,0.0,None 
2629,575.0,7.0,Yes,No,,,,,,,,,,,,
2630,576.0,1.0,Yes,Yes,1.0,CHAMA,1.0, Self-Help Groups/Chamas  ,Business/Investment   ,6000.0,1.0,20.0,,6.0,0.0,Shares  
2631,576.0,5.0,Yes,Yes,1.0,CHAMA,1.0, Self-Help Groups/Chamas  ,Business/Investment   ,5000.0,1.0,70.0,,1.0,6500.0,Shares  
2632,576.0,6.0,Yes,Yes,1.0,CHAMA.,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,3000.0,1.0,20.0,,3.0,1000.0,Shares  
2633,576.0,8.0,Yes,Yes,1.0,CHAMA,1.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,5000.0,1.0,20.0,,1.0,5000.0,Shares  
2634,576.0,9.0,Yes,Yes,1.0,CHAMA,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,10000.0,7.0,10.0,,3.0,10000.0,Shares  
2635,577.0,1.0,Yes,Yes,1.0,SUGAR,2.0, Merchant/Shop  ,Subsistence Needs  ,200.0,1.0,0.0,0.0,1.0,200.0,None 
2636,577.0,1.0,Yes,Yes,2.0,MAIZE FLOUR,2.0, Merchant/Shop  ,Subsistence Needs  ,400.0,1.0,0.0,0.0,1.0,400.0,None 
2637,577.0,1.0,Yes,Yes,3.0,TEALEAVES,2.0, Merchant/Shop  ,Subsistence Needs  ,40.0,1.0,0.0,0.0,1.0,40.0,None 
2638,577.0,2.0,Yes,Yes,1.0,TEALEAVES,1.0, Merchant/Shop  ,Subsistence Needs  ,80.0,1.0,0.0,0.0,1.0,80.0,None 
2639,577.0,2.0,Yes,Yes,2.0,RICE,1.0, Merchant/Shop  ,Subsistence Needs  ,160.0,1.0,0.0,0.0,1.0,160.0,None 
2640,577.0,4.0,Yes,Yes,1.0,SUGAR,1.0, Merchant/Shop  ,Subsistence Needs  ,120.0,1.0,0.0,0.0,1.0,120.0,None 
2641,577.0,4.0,Yes,Yes,2.0,TEALEAVES,1.0, Merchant/Shop  ,Subsistence Needs  ,40.0,1.0,0.0,0.0,1.0,40.0,None 
2642,577.0,6.0,Yes,Yes,1.0,RICE,2.0, Merchant/Shop  ,Subsistence Needs  ,400.0,1.0,0.0,0.0,1.0,200.0,None 
2643,577.0,6.0,Yes,Yes,2.0,MAIZE FLOUR,2.0, Merchant/Shop  ,Subsistence Needs  ,200.0,1.0,0.0,0.0,1.0,100.0,None 
2644,577.0,7.0,Yes,Yes,1.0,RICE,2.0, Merchant/Shop  ,Subsistence Needs  ,400.0,1.0,0.0,0.0,1.0,400.0,None 
2645,577.0,7.0,Yes,Yes,2.0,SUGAR,2.0, Merchant/Shop  ,Subsistence Needs  ,240.0,1.0,0.0,0.0,1.0,240.0,None 
2646,577.0,7.0,Yes,Yes,3.0,TEALEAVES,2.0, Merchant/Shop  ,Subsistence Needs  ,80.0,1.0,0.0,0.0,1.0,80.0,None 
2647,577.0,8.0,Yes,Yes,1.0,SUGAR,2.0, Merchant/Shop  ,Subsistence Needs  ,360.0,1.0,0.0,0.0,1.0,360.0,None 
2648,577.0,8.0,Yes,Yes,2.0,TEALEAVES,2.0, Merchant/Shop  ,Subsistence Needs  ,40.0,1.0,0.0,0.0,1.0,0.0,None 
2649,577.0,9.0,Yes,Yes,1.0,MAIZE FLOUR,1.0, Merchant/Shop  ,Subsistence Needs  ,400.0,1.0,0.0,0.0,1.0,400.0,None 
2650,577.0,9.0,Yes,Yes,2.0,SUGAR,1.0, Merchant/Shop  ,Subsistence Needs  ,600.0,1.0,0.0,0.0,1.0,600.0,None 
2651,579.0,1.0,Yes,Yes,1.0,CASH,2.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,5000.0,1.0,10.0,,3.0,1500.0,Shares  
2652,579.0,2.0,Yes,Yes,1.0,CASH,1.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,38000.0,2.0,10.0,,1.0,0.0,Shares  
2653,579.0,5.0,Yes,Yes,1.0,CASH,2.0, Employer  ,Subsistence Needs  ,10000.0,10.0,0.0,0.0,10.0,6000.0,Salary 
2654,579.0,7.0,Yes,Yes,1.0,CASH,1.0, Saccos  ,Business/Investment   ,50000.0,30.0,1.0,,24.0,30000.0,Shares  
2655,580.0,3.0,Yes,Yes,1.0,CASH,1.0, Micro-Finance Inst  ,Business/Investment   ,50000.0,30.0,10.0,0.0,12.0,0.0,Shares  
2656,580.0,7.0,Yes,Yes,1.0,CASH,1.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,2000.0,1.0,10.0,,1.0,1000.0,None 
2657,581.0,2.0,Yes,Yes,1.0,FEES LOAN,2.0, Saccos  ,School Fees (Education)  ,100000.0,14.0,1.0,12.0,60.0,81666.0,Shares  
2658,581.0,10.0,Yes,Yes,1.0,SCHOOL FEES LOAN,1.0, Saccos  ,School Fees (Education)  ,200000.0,7.0,1.0,12.0,72.0,170000.0,Shares  
2659,582.0,4.0,Yes,Yes,1.0,GOODS FOR SALE,1.0, Merchant/Shop  ,Business/Investment   ,100000.0,4.0,0.0,0.0,24.0,70000.0,Individual/Guarantor  
2660,582.0,7.0,Yes,Yes,1.0,CASH,2.0, Micro-Finance Inst  ,Business/Investment   ,20000.0,21.0,5.0,0.0,6.0,0.0,Individual/Guarantor  
2661,583.0,2.0,Yes,Yes,1.0,CASH,1.0, Merchant/Shop  ,Subsistence Needs  ,20000.0,30.0,0.0,0.0,1.0,15000.0,None 
2662,583.0,4.0,Yes,Yes,1.0,CASH,1.0, Merchant/Shop  ,Subsistence Needs  ,10000.0,30.0,0.0,0.0,1.0,10000.0,None 
2663,583.0,6.0,Yes,Yes,1.0,1/2 SACK SUG,1.0, Merchant/Shop  ,Subsistence Needs  ,2500.0,1.0,0.0,0.0,3.0,2500.0,None 
2664,583.0,6.0,Yes,Yes,2.0,WHEAT FLOUR,1.0, Merchant/Shop  ,Subsistence Needs  ,1700.0,1.0,0.0,0.0,3.0,1700.0,None 
2665,583.0,7.0,Yes,Yes,1.0,1/2 SUGAR SACK,1.0, Merchant/Shop  ,Subsistence Needs  ,2500.0,1.0,0.0,0.0,1.0,2500.0,None 
2666,583.0,7.0,Yes,Yes,2.0,WHEAT FLOUR 1/2 SACK,1.0, Merchant/Shop  ,Subsistence Needs  ,1700.0,1.0,0.0,0.0,1.0,1700.0,None 
2667,583.0,8.0,Yes,Yes,1.0,CASH,1.0, Merchant/Shop  ,Subsistence Needs  ,10000.0,1.0,0.0,0.0,1.0,10000.0,None 
2668,583.0,10.0,Yes,Yes,1.0,CASH 10000,1.0, Merchant/Shop  ,Subsistence Needs  ,10000.0,1.0,0.0,0.0,3.0,10000.0,None 
2669,584.0,7.0,Yes,Yes,1.0,DEV LOAN,2.0, Saccos  ,Subsistence Needs  ,50000.0,30.0,,11.8,12.0,0.0,Individual/Guarantor  
2670,585.0,2.0,Yes,Yes,1.0,EQUITY BANK LOAN,1.0, Commercial Banks  ,Medical Expense   ,25000.0,14.0,0.0,16.0,6.0,0.0,Household Goods 
2671,585.0,4.0,Yes,Yes,1.0,BANK LOAN,1.0, Commercial Banks  ,School Fees (Education)  ,100000.0,10.0,0.0,23.0,18.0,39000.0,Income 
2672,585.0,8.0,Yes,Yes,1.0,MSHWARI LOAN,1.0, Mobile Phone Platform  ,School Fees (Education)  ,6500.0,1.0,7.5,0.0,1.0,0.0,None 
2673,585.0,9.0,Yes,Yes,1.0,CHAMA LOAN,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,10000.0,1.0,0.0,7.0,9.0,7000.0,Livestock  
2674,587.0,2.0,Yes,Yes,1.0,KAWILI WOMEN GROUP,1.0, Self-Help Groups/Chamas  ,Medical Expense   ,800.0,2.0,8.0,0.0,6.0,0.0,Individual/Guarantor  
2675,587.0,5.0,Yes,Yes,1.0,WAMARIA WOMEN GROUP,1.0, Self-Help Groups/Chamas  ,Business/Investment   ,5000.0,4.0,10.0,0.0,3.0,0.0,Shares  
2676,587.0,6.0,Yes,Yes,1.0,MSWARI PLATFORM,3.0, Mobile Phone Platform  ,Business/Investment   ,7000.0,1.0,8.0,0.0,1.0,0.0,Shares  
2677,587.0,8.0,Yes,Yes,1.0,NYAKUNE SHG,2.0, Self-Help Groups/Chamas  ,Purchase of Livestock  ,12000.0,4.0,8.0,0.0,3.0,0.0,Individual/Guarantor  
2678,588.0,5.0,Yes,Yes,1.0,FOOD STUFF,1.0, Merchant/Shop  ,Subsistence Needs  ,300.0,0.0,0.0,0.0,0.0,300.0,Individual/Guarantor  
2679,588.0,7.0,Yes,Yes,1.0,FOOD STUFFS,1.0, Merchant/Shop  ,Subsistence Needs  ,1500.0,0.0,0.0,0.0,0.0,1000.0,Income 
2680,588.0,9.0,Yes,Yes,1.0,FOOD STUFFS,1.0, Merchant/Shop  ,Subsistence Needs  ,1000.0,1.0,0.0,0.0,0.0,500.0,Livestock  
2681,589.0,6.0,Yes,Yes,1.0,EDUCATION LOAN,1.0, Commercial Banks  ,School Fees (Education)  ,50000.0,6.0,0.0,20.0,12.0,24000.0,Salary 
2682,590.0,1.0,Yes,Yes,1.0,CASH,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,500.0,1.0,0.0,0.0,1.0,0.0,None 
2683,590.0,5.0,Yes,Yes,1.0,CASH,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,200.0,2.0,0.0,0.0,0.0,0.0,None 
2684,590.0,6.0,Yes,Yes,1.0,50000 MUMS,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,50000.0,14.0,10.0,,18.0,55000.0,None 
2685,590.0,6.0,Yes,Yes,2.0,20000 GROUP,1.0, Government Funds  ,Subsistence Needs  ,20000.0,30.0,10.0,,12.0,0.0,Individual/Guarantor  
2686,591.0,2.0,Yes,Yes,1.0,ACRE FUND,1.0, Ngo  ,Purchase of Agricultural Inputs  ,10200.0,60.0,2.3,6.3,6.0,0.0,Shares  
2687,591.0,6.0,Yes,Yes,1.0,CASH,1.0, Micro-Finance Inst  ,Business/Investment   ,80000.0,30.0,,20.0,12.0,44000.0,Individual/Guarantor  
2688,591.0,9.0,Yes,,,,,,,,,,,,,
2689,592.0,1.0,Yes,Yes,1.0,AFRICAN CAPITAL,1.0, Micro-Finance Inst  ,School Fees (Education)  ,300000.0,14.0,0.0,10.0,24.0,240000.0,None 
2690,592.0,1.0,Yes,Yes,2.0,DUKA LOAN,1.0, Merchant/Shop  ,Subsistence Needs  ,230.0,1.0,0.0,0.0,0.0,0.0,None 
2691,592.0,2.0,Yes,Yes,1.0,CHAMA LOAN,1.0, Self-Help Groups/Chamas  ,Medical Expense   ,1500.0,1.0,10.0,0.0,1.0,1650.0,Shares  
2692,592.0,3.0,Yes,Yes,1.0,FEES LOAN,1.0, Relative/ Friend/Neighbour  ,School Fees (Education)  ,20000.0,1.0,0.0,0.0,0.0,0.0,None 
2693,592.0,3.0,Yes,Yes,2.0,M-SHWARI-MAMA,2.0, Mobile Phone Platform  ,Purchase of Agricultural Inputs  ,1200.0,1.0,7.5,0.0,1.0,0.0,None 
2694,592.0,3.0,Yes,Yes,3.0,M-SHWARI-MZEE,1.0, Mobile Phone Platform  ,Ceremony/Wedding  ,19000.0,1.0,7.5,0.0,1.0,19000.0,None 
2695,592.0,5.0,Yes,Yes,1.0,VIATU CREDIT,2.0, Merchant/Shop  ,Subsistence Needs  ,1000.0,1.0,0.0,0.0,0.0,0.0,None 
2696,592.0,7.0,Yes,Yes,1.0,NYUMBANI CREDIT,2.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,1200.0,1.0,0.0,0.0,0.0,0.0,None 
2697,592.0,8.0,Yes,Yes,1.0,M-SHWARI,1.0, Mobile Phone Platform  ,Business/Investment   ,1000.0,1.0,7.5,0.0,1.0,0.0,None 
2698,592.0,9.0,Yes,Yes,1.0,SAFARI LOAN,1.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,5000.0,1.0,0.0,0.0,0.0,5000.0,None 
2699,593.0,1.0,Yes,Yes,1.0,NYAWANA GROUP,2.0, Self-Help Groups/Chamas  ,Ceremony/Wedding  ,2000.0,0.0,10.0,0.0,0.0,0.0,Shares  
2700,593.0,2.0,Yes,Yes,1.0,KWE GI LAMO,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,4000.0,0.0,10.0,0.0,0.0,2500.0,Shares  
2701,593.0,5.0,Yes,Yes,1.0,MARY GO ROUND,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,2000.0,0.0,10.0,0.0,1.0,0.0,Shares  
2702,593.0,6.0,Yes,Yes,1.0,SILK LOAN,1.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,1200.0,0.0,1.0,0.0,1.0,0.0,Shares  
2703,593.0,6.0,Yes,Yes,2.0,SILK LOAN,2.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,3000.0,0.0,1.0,0.0,1.0,0.0,Shares  
2704,593.0,9.0,Yes,Yes,1.0,KWEGI LAMO,1.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,2000.0,0.0,1.0,0.0,1.0,0.0,Shares  
2705,593.0,9.0,Yes,Yes,2.0,KWE GI LAMO,2.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,1000.0,0.0,0.0,0.0,0.0,0.0,Shares  
2706,593.0,10.0,Yes,Yes,1.0,CHAMLUCHI SILK SACCO,1.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,1000.0,0.0,10.0,0.0,1.0,1000.0,Shares  
2707,593.0,10.0,Yes,Yes,2.0,SILK LOAN,2.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,2000.0,0.0,10.0,0.0,1.0,2000.0,Shares  
2708,594.0,1.0,Yes,Yes,1.0,RIPPLES GROUP,1.0, Ngo  ,Subsistence Needs  ,3000.0,20.0,10.0,,6.0,3000.0,Household Goods 
2709,594.0,2.0,Yes,Yes,1.0,NJENGA KENYA,2.0, Self-Help Groups/Chamas  ,Other  ,10800.0,20.0,12.0,,12.0,5400.0,Household Goods 
2710,594.0,2.0,Yes,Yes,2.0,JOY GROUP,2.0, Self-Help Groups/Chamas  ,Subsistence Needs  ,500.0,1.0,10.0,,2.0,500.0,Shares  
2711,594.0,4.0,Yes,Yes,1.0,M-KOPA,1.0, Government Funds  ,Other  ,12000.0,7.0,10.0,,12.0,10200.0,
2712,594.0,9.0,Yes,Yes,1.0,UWEZO LOAN,1.0, Government Funds  ,Purchase of Agricultural Inputs  ,10000.0,352.0,5.0,,24.0,10000.0,Shares  
2713,595.0,1.0,Yes,Yes,1.0,M SHWARI,1.0, Mobile Phone Platform  ,Business/Investment   ,6000.0,1.0,6.0,,1.0,0.0,Shares  
2714,595.0,1.0,Yes,Yes,2.0,M SHWARI,1.0, Mobile Phone Platform  ,Business/Investment   ,6000.0,1.0,6.0,,1.0,0.0,Shares  
2715,595.0,1.0,Yes,Yes,3.0,M SHWARI,1.0, Mobile Phone Platform  ,Business/Investment   ,6000.0,1.0,6.0,,1.0,6450.0,Shares  
2716,595.0,1.0,Yes,Yes,4.0,M SHWARI,2.0, Mobile Phone Platform  ,Subsistence Needs  ,1200.0,1.0,6.0,,1.0,1200.0,Shares  
2717,595.0,3.0,Yes,Yes,1.0,ONE ACRE FUND,2.0, Ngo  ,Purchase of Agricultural Inputs  ,12800.0,90.0,0.0,0.0,12.0,4075.0,None 
2718,596.0,5.0,Yes,Yes,1.0,CASH-HELB LOAN,1.0, Commercial Banks  ,School Fees (Education)  ,45000.0,90.0,0.0,4.0,60.0,180000.0,Individual/Guarantor  
2719,596.0,5.0,Yes,Yes,2.0,CASH-HELB LOAN,2.0, Commercial Banks  ,School Fees (Education)  ,50000.0,90.0,0.0,4.0,60.0,100000.0,Individual/Guarantor  
2720,598.0,2.0,Yes,Yes,1.0,CASH,1.0, Saccos  ,Purchase/Construction of Dwelling  ,300000.0,7.0,16.0,16.0,36.0,250000.0,Shares  
2721,598.0,6.0,Yes,Yes,1.0,CASH,1.0, Mobile Phone Platform  ,Business/Investment   ,14000.0,0.0,0.2,,6.0,14000.0,None 
2722,599.0,1.0,Yes,Yes,1.0,CHARLES SHOP,2.0, Merchant/Shop  ,Subsistence Needs  ,18000.0,0.0,0.0,0.0,1.0,1600.0,None 
2723,599.0,1.0,Yes,Yes,2.0,CLOTHING SHOP,2.0, Merchant/Shop  ,Subsistence Needs  ,1500.0,0.0,0.0,0.0,1.0,1000.0,None 
2724,599.0,1.0,Yes,Yes,3.0,MOKEIRA LOAN,2.0, Relative/ Friend/Neighbour  ,Subsistence Needs  ,30000.0,0.0,0.0,0.0,1.0,15000.0,None 
2725,599.0,1.0,Yes,Yes,4.0,SAFARICOM AIRTIME,2.0, Mobile Phone Platform  ,Subsistence Needs  ,600.0,0.0,10.0,0.0,1.0,0.0,None 
2726,599.0,1.0,Yes,Yes,5.0,SAFARICOM AIRTIME,1.0, Mobile Phone Platform  ,Subsistence Needs  ,1200.0,0.0,10.0,0.0,1.0,50.0,None 
2727,599.0,2.0,Yes,Yes,1.0,KERUBO LOAN,1.0, Relative/ Friend/Neighbour  ,School Fees (Education)  ,2000.0,0.0,10.0,0.0,1.0,2000.0,None 
2728,599.0,2.0,Yes,Yes,2.0,AFARICOM AIRTIME,1.0, Mobile Phone Platform  ,Subsistence Needs  ,2000.0,0.0,10.0,0.0,1.0,20.0,None 
2729,599.0,4.0,Yes,Yes,1.0,JAMES SHOP,2.0, Merchant/Shop  ,Subsistence Needs  ,3600.0,0.0,0.0,0.0,1.0,10.0,None 
2730,599.0,4.0,Yes,Yes,2.0,JAMES SHOP,1.0, Merchant/Shop  ,Subsistence Needs  ,2400.0,0.0,0.0,0.0,1.0,0.0,None 
2731,599.0,5.0,Yes,Yes,1.0,JAMES SHOP,1.0, Merchant/Shop  ,Subsistence Needs  ,4000.0,0.0,0.0,0.0,0.0,0.0,None 
2732,599.0,6.0,Yes,Yes,1.0,JAMES SHOP,2.0, Merchant/Shop  ,Subsistence Needs  ,8400.0,0.0,0.0,0.0,1.0,350.0,None 
2733,599.0,6.0,Yes,Yes,2.0,SAFARICOM AIRTIME,2.0, Mobile Phone Platform  ,Subsistence Needs  ,120.0,0.0,110.0,0.0,1.0,0.0,None 
2734,599.0,6.0,Yes,Yes,3.0,DRUG SUPPLIES,1.0, Merchant/Shop  ,Business/Investment   ,24000.0,0.0,0.0,0.0,1.0,1200.0,None 
2735,599.0,7.0,Yes,Yes,1.0,GETA SELF HELP GROUP,2.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,10000.0,0.0,10.0,0.0,12.0,10000.0,Shares  
2736,599.0,7.0,Yes,Yes,2.0,FAITH SOFT LOAN,1.0, Relative/ Friend/Neighbour  ,School Fees (Education)  ,10000.0,14.0,10.0,0.0,12.0,10000.0,None 
2737,599.0,7.0,Yes,Yes,3.0,SHOP (CHARLES),2.0, Merchant/Shop  ,Subsistence Needs  ,6000.0,0.0,0.0,0.0,1.0,40.0,None 
2738,599.0,7.0,Yes,Yes,4.0,SAFARICOM AIRTIME,1.0, Mobile Phone Platform  ,Subsistence Needs  ,3000.0,0.0,10.0,0.0,1.0,200.0,None 
2739,599.0,8.0,Yes,Yes,1.0,SAFARICOM AIRTIME,2.0, Mobile Phone Platform  ,Subsistence Needs  ,1200.0,0.0,10.0,0.0,1.0,0.0,None 
2740,599.0,8.0,Yes,Yes,2.0,SAFARICOM AIRTIME,1.0, Mobile Phone Platform  ,Subsistence Needs  ,1400.0,0.0,10.0,0.0,1.0,50.0,None 
2741,599.0,8.0,Yes,Yes,3.0,AIRTIME AIRTEL,1.0, Mobile Phone Platform  ,Subsistence Needs  ,1000.0,0.0,10.0,0.0,1.0,100.0,None 
2742,599.0,8.0,Yes,Yes,4.0,SAFARICOM MSHWARI,1.0, Mobile Phone Platform  ,Subsistence Needs  ,100.0,0.0,0.0,10.0,1.0,100.0,None 
2743,599.0,8.0,Yes,Yes,5.0,SAFARICOM MSHWARI,2.0, Mobile Phone Platform  ,Subsistence Needs  ,2000.0,0.0,0.0,10.0,1.0,2000.0,None 
2744,599.0,8.0,Yes,Yes,6.0,EQUITY LOAN,1.0, Commercial Banks  ,Purchase/Construction of Dwelling  ,35000.0,14.0,0.0,18.0,12.0,20000.0,Individual/Guarantor  
2745,599.0,9.0,Yes,Yes,1.0,JAMES SHOP,1.0, Merchant/Shop  ,Subsistence Needs  ,1500.0,0.0,0.0,0.0,1.0,1000.0,None 
2746,599.0,9.0,Yes,Yes,2.0,LORRIE LOAN,1.0, Relative/ Friend/Neighbour  ,School Fees (Education)  ,7000.0,0.0,0.0,0.0,1.0,7000.0,None 
2747,599.0,10.0,Yes,Yes,1.0,NYAMIRA TEA SACCO,1.0, Saccos  ,School Fees (Education)  ,30000.0,60.0,0.0,20.0,12.0,10000.0,Individual/Guarantor  
2748,599.0,10.0,Yes,Yes,2.0,NYANSIONGO TEA FACTORY,1.0, Other  ,School Fees (Education)  ,12000.0,7.0,0.0,20.0,12.0,0.0,Individual/Guarantor  
2749,599.0,10.0,Yes,Yes,3.0,JAMES SHOP,2.0, Merchant/Shop  ,Subsistence Needs  ,2400.0,0.0,0.0,0.0,1.0,80.0,None 
2750,599.0,10.0,Yes,Yes,4.0,SAFARICOM AIRTIME,1.0, Mobile Phone Platform  ,Subsistence Needs  ,1000.0,0.0,10.0,0.0,1.0,0.0,None 
2751,599.0,10.0,Yes,Yes,5.0,GETA/NYAKORIA SACCO,1.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,8000.0,0.0,0.0,20.0,12.0,8000.0,Shares  
2752,600.0,1.0,Yes,Yes,1.0,SACCO LOAN,2.0, Saccos  ,Purchase of Agricultural Inputs  ,400000.0,14.0,,0.1,36.0,483000.0,Salary 
2753,600.0,2.0,Yes,No,,,,,,,,,,,,
2754,600.0,4.0,Yes,Yes,1.0,SACCO LOAN,2.0, Saccos  ,Purchase of Motor Vehicles/Cycles  ,900000.0,7.0,,0.2,60.0,1200000.0,Salary 
2755,600.0,5.0,Yes,Yes,1.0,SACCO LOAN,1.0, Saccos  ,Purchase of Land  ,530000.0,14.0,0.0,0.1,48.0,666305.0,Salary 
2756,600.0,6.0,Yes,Yes,1.0,SACCO LOAN,1.0, Saccos  ,Business/Investment   ,100000.0,7.0,,0.1,1.0,100000.0,Salary 
2757,600.0,9.0,Yes,Yes,1.0,BANK LOAN,1.0, Commercial Banks  ,School Fees (Education)  ,100000.0,7.0,,0.1,12.0,104000.0,Individual/Guarantor  
2758,601.0,3.0,Yes,Yes,1.0,CASH(CHAMA),2.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,30000.0,30.0,,10.0,19.0,23400.0,Individual/Guarantor  
2759,601.0,6.0,Yes,Yes,1.0,BANK LOAN CASH,1.0, Commercial Banks  ,School Fees (Education)  ,1600000.0,23.0,,12.0,72.0,1400000.0,Salary 
2760,601.0,8.0,Yes,Yes,1.0,CASH,1.0, Saccos  ,Medical Expense   ,60000.0,7.0,,10.0,12.0,38000.0,Individual/Guarantor  
2761,601.0,9.0,Yes,Yes,1.0,CASH,2.0, Self-Help Groups/Chamas  ,School Fees (Education)  ,40000.0,30.0,5.0,,12.0,26000.0,Livestock  
2762,602.0,5.0,Yes,Yes,1.0,SOCIAL HEALTH GROUP LOAN,1.0, Self-Help Groups/Chamas  ,Purchase of Agricultural Inputs  ,10000.0,7.0,0.0,0.0,24.0,0.0,Motor Vehicle/Cycle 
